customer_id,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies
0723-DRCLG,Yes,Yes,Yes,No,No,No,No,No,No
0280-XJGEX,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
1066-JKSGK,Yes,No,No,No,No,No,No,No,No
8773-HHUOZ,Yes,No,Yes,No,No,No,No,Yes,Yes
6047-YHPVI,Yes,No,Yes,No,No,No,No,No,No
5380-WJKOV,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8637-XJIVR,Yes,Yes,Yes,Yes,No,No,No,No,No
0278-YXOOG,Yes,No,No,No,No,No,No,No,No
3192-NQECA,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
3874-EQOEP,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2472-OVKUP,Yes,No,Yes,No,Yes,Yes,No,No,Yes
1251-KRREG,Yes,Yes,Yes,No,Yes,No,No,No,No
0322-YINQP,Yes,No,Yes,Yes,No,No,No,No,No
4959-JOSRX,Yes,No,Yes,No,No,No,No,No,No
6366-ZGQGL,No,No,Yes,No,No,No,No,No,No
5940-AHUHD,Yes,No,Yes,No,No,No,No,No,No
5583-SXDAG,Yes,No,Yes,No,No,No,No,No,No
3580-REOAC,Yes,No,Yes,No,No,No,No,No,No
2868-SNELZ,Yes,Yes,Yes,No,No,Yes,No,No,No
7989-CHGTL,Yes,No,No,No,No,No,No,No,No
3583-EKAPL,Yes,No,Yes,No,No,No,No,No,Yes
6227-HWPWX,Yes,No,Yes,No,No,No,No,No,No
7783-YKGDV,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
7218-HKQFK,Yes,No,Yes,No,No,No,Yes,Yes,Yes
1342-JPNKI,Yes,Yes,Yes,No,No,No,No,Yes,No
5301-GAUUY,Yes,Yes,Yes,No,Yes,No,No,No,No
1218-VKFPE,Yes,No,No,No,No,No,No,No,No
6543-CPZMK,No,No,Yes,No,Yes,No,No,No,No
4765-OXPPD,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No
2024-BASKD,Yes,No,Yes,No,No,Yes,No,No,No
3859-CVCET,Yes,No,Yes,No,No,No,No,No,No
3276-HDUEG,Yes,Yes,Yes,No,No,No,No,No,No
0822-GAVAP,No,No,Yes,No,No,No,No,No,Yes
1448-PWKYE,Yes,No,Yes,No,No,No,No,No,Yes
2189-WWOEW,Yes,No,Yes,No,Yes,No,No,No,Yes
0236-HFWSV,Yes,Yes,Yes,No,No,No,No,Yes,Yes
7314-OXENN,Yes,Yes,Yes,No,Yes,No,No,No,No
4678-DVQEO,Yes,No,Yes,No,No,No,Yes,No,No
3138-BKYAV,Yes,No,Yes,No,Yes,No,No,Yes,No
2239-JALAW,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
0115-TFERT,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
1038-ZAGBI,Yes,No,No,No,No,No,No,No,No
3027-ZTDHO,Yes,No,Yes,No,No,No,No,Yes,Yes
9227-LUNBG,No,No,Yes,No,No,No,No,No,No
6680-WKXRZ,Yes,Yes,Yes,No,No,No,No,No,No
9448-REEVD,Yes,No,Yes,No,No,No,No,No,No
9117-SHLZX,Yes,No,Yes,No,No,No,No,No,No
5875-YPQFJ,Yes,No,Yes,No,No,No,No,No,No
6641-XRPSU,Yes,No,Yes,No,No,No,No,No,No
9524-EGPJC,Yes,Yes,Yes,No,No,No,Yes,No,Yes
6993-OHLXR,Yes,No,Yes,No,No,No,No,No,No
5669-SRAIP,No,No,Yes,No,No,Yes,No,No,Yes
1624-WOIWJ,Yes,No,Yes,Yes,No,No,No,Yes,No
0376-YMCJC,Yes,Yes,Yes,No,No,No,Yes,Yes,No
0634-SZPQA,Yes,Yes,Yes,Yes,No,No,No,Yes,No
3097-NNSPB,Yes,No,Yes,No,Yes,No,No,No,No
4361-BKAXE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
9763-PDTKK,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes
0927-LCSMG,Yes,No,Yes,No,No,Yes,No,No,No
3927-NLNRY,Yes,No,Yes,No,Yes,No,No,Yes,Yes
6581-NQCBA,No,No,Yes,No,No,No,Yes,Yes,Yes
5835-BEQEU,Yes,Yes,Yes,No,No,No,No,No,No
2223-KAGMX,Yes,No,No,No,No,No,No,No,No
2408-TZMJL,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
9831-BPFRI,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No
0031-PVLZI,Yes,No,No,No,No,No,No,No,No
4671-LXRDQ,Yes,No,Yes,No,No,No,No,No,No
2845-HSJCY,Yes,Yes,Yes,No,No,Yes,No,No,Yes
7721-JXEAW,No,No,Yes,No,Yes,No,No,No,Yes
0471-LVHGK,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
7767-UXAGJ,Yes,Yes,Yes,No,No,No,No,No,No
2951-QOQTK,Yes,Yes,Yes,No,No,No,Yes,No,No
3473-XIIIT,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
5469-CTCWN,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
1092-GANHU,Yes,No,Yes,No,No,Yes,No,No,No
7881-EVUAD,No,No,Yes,Yes,Yes,No,No,No,Yes
8519-QJGJD,Yes,No,Yes,No,No,Yes,No,No,No
2886-KEFUM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
9651-GTSAQ,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
1157-BQCUW,Yes,Yes,Yes,No,No,No,No,No,No
9254-RBFON,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
3331-HQDTW,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
5442-XSDCW,Yes,No,Yes,No,No,No,No,Yes,No
3049-NDXFL,Yes,Yes,Yes,No,No,No,No,No,Yes
7963-GQRMY,Yes,No,Yes,No,No,No,No,No,No
9158-VCTQB,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8593-WHYHV,Yes,Yes,Yes,No,No,No,No,No,Yes
0107-YHINA,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
7198-GLXTC,Yes,No,Yes,No,No,No,No,Yes,No
3096-IZETN,Yes,No,Yes,No,No,No,No,No,Yes
8496-EJAUI,Yes,No,Yes,No,Yes,No,No,No,No
6990-YNRIO,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
3669-OYSJI,Yes,No,Yes,No,No,No,No,No,No
7054-LGEQW,Yes,No,Yes,No,No,No,No,No,No
0923-PNFUB,Yes,No,Yes,No,Yes,No,No,Yes,No
3494-JCHRQ,Yes,No,Yes,No,No,No,No,No,No
6474-FVJLC,Yes,Yes,Yes,No,No,No,No,No,Yes
4547-LYTDD,Yes,Yes,Yes,No,No,No,No,No,No
6651-AZVTJ,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
4566-GOLUK,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
2484-DGXPZ,Yes,No,No,No,No,No,No,No,No
5834-ASPWA,Yes,Yes,Yes,No,No,No,No,No,No
0565-IYCGT,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
1024-VRZHF,Yes,Yes,Yes,No,No,No,No,No,No
0348-SDKOL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
4373-MAVJG,Yes,Yes,Yes,No,Yes,No,No,No,Yes
8565-CLBZW,Yes,Yes,Yes,No,No,Yes,No,Yes,No
9139-WQQDY,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
9430-FRQOC,Yes,Yes,Yes,No,No,Yes,Yes,No,No
3753-TSEMP,Yes,No,Yes,No,No,No,No,Yes,Yes
6298-QDFNH,Yes,Yes,Yes,No,Yes,No,No,No,No
9734-UYXQI,Yes,Yes,Yes,No,No,No,No,No,No
2189-UXTKY,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes
4958-GZWIY,Yes,No,Yes,No,No,Yes,No,No,No
9300-RENDD,Yes,No,Yes,No,No,No,No,Yes,No
8945-MUQUF,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
3023-GFLBR,Yes,Yes,Yes,No,No,No,No,No,Yes
2514-GINMM,Yes,No,Yes,No,No,No,No,Yes,No
2659-VXMWZ,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
8337-MSSXB,Yes,No,Yes,No,Yes,No,No,No,Yes
4529-CKBCL,Yes,No,Yes,No,No,No,No,Yes,No
7488-MXJIV,Yes,Yes,Yes,No,No,No,No,Yes,No
4800-CZMPC,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
5103-MHMHY,Yes,No,Yes,No,No,No,No,No,No
5136-KCKGI,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
3722-WPXTK,Yes,No,Yes,No,No,No,No,Yes,Yes
7548-SEPYI,Yes,No,Yes,No,Yes,No,No,Yes,Yes
7854-FOKSF,No,No,Yes,No,No,No,No,No,Yes
8481-YYXWG,Yes,No,Yes,No,Yes,No,Yes,No,Yes
2636-OHFMN,No,No,Yes,No,Yes,No,No,Yes,Yes
0952-KMEEH,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
5976-JCJRH,Yes,No,Yes,No,No,No,No,No,No
3351-NQLDI,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes
6877-TJMBR,Yes,No,Yes,No,No,No,Yes,Yes,No
2433-KMEAS,Yes,Yes,Yes,Yes,No,No,No,No,No
4873-ILOLJ,Yes,No,Yes,No,No,No,No,Yes,Yes
9565-DJPIB,Yes,Yes,Yes,No,Yes,No,No,Yes,No
4659-NZRUF,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes
8429-XIBUM,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes
1569-TTNYJ,Yes,Yes,Yes,No,Yes,No,No,No,No
4749-VFKVB,Yes,Yes,Yes,No,No,No,No,No,No
3426-NIYYL,Yes,Yes,Yes,No,No,No,No,No,No
3387-VATUS,Yes,Yes,Yes,No,No,No,No,Yes,Yes
2495-INZWQ,No,No,Yes,No,No,No,No,Yes,Yes
2691-NZETQ,Yes,Yes,Yes,No,No,No,No,Yes,No
5013-SBUIH,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
0495-RVCBF,Yes,No,Yes,No,No,No,No,No,Yes
3348-CFRNX,Yes,No,Yes,Yes,No,No,No,Yes,Yes
4626-GYCZP,Yes,Yes,Yes,No,No,No,No,Yes,Yes
3237-AJGEH,No,No,Yes,No,No,No,Yes,No,No
4484-CGXFK,Yes,No,Yes,No,No,No,No,No,Yes
1322-AGOQM,No,No,Yes,No,Yes,No,No,No,No
0876-WDUUZ,Yes,No,Yes,No,No,No,Yes,No,Yes
2141-RRYGO,Yes,No,Yes,No,Yes,No,No,Yes,Yes
5052-PNLOS,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
6979-ZNSFF,Yes,Yes,Yes,No,No,No,No,Yes,No
4822-NGOCH,Yes,Yes,Yes,No,Yes,Yes,No,No,No
7410-KTVFV,Yes,No,Yes,No,No,Yes,No,No,No
0895-DQHEW,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
4183-WCSEP,Yes,No,Yes,No,Yes,No,Yes,No,No
7112-OPOTK,Yes,No,Yes,No,No,No,No,No,No
4210-QFJMF,Yes,No,Yes,No,No,No,No,No,Yes
7774-OJSXI,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
7663-RGWBC,Yes,No,Yes,No,No,No,No,No,No
5519-YLDGW,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes
8185-UPYBR,Yes,Yes,Yes,No,No,No,No,No,No
2430-USGXP,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
0311-UNPFF,Yes,No,Yes,No,No,No,No,Yes,Yes
7599-FKVXZ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
5569-KGJHX,Yes,Yes,Yes,No,No,No,No,Yes,No
0748-RDGGM,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
8914-RBTSB,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
1670-SVOWZ,Yes,No,Yes,No,Yes,No,Yes,No,Yes
7541-YLXCL,Yes,No,Yes,No,Yes,No,Yes,No,Yes
8722-NGNBH,No,No,Yes,Yes,No,Yes,Yes,No,No
6128-CZOMY,Yes,No,Yes,No,No,No,No,No,No
1501-SGHBW,Yes,No,Yes,No,No,No,No,No,No
2933-FILNV,No,No,Yes,No,No,No,No,No,No
3194-ORPIK,Yes,Yes,Yes,No,No,No,No,Yes,No
1723-HKXJQ,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
1240-KNSEZ,Yes,No,No,No,No,No,No,No,No
0836-SEYLU,No,No,Yes,No,No,No,Yes,Yes,No
3716-BDVDB,Yes,No,Yes,No,No,No,No,No,No
1150-WFARN,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
0968-GSIKN,Yes,No,Yes,No,No,No,No,No,No
6771-XWBDM,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
8601-QACRS,Yes,Yes,Yes,No,No,No,No,No,No
9136-ALYBR,No,No,Yes,No,No,No,No,No,No
2959-MJHIC,Yes,No,Yes,No,No,No,No,Yes,No
8260-NGFNY,No,No,Yes,No,No,No,No,No,No
8625-AZYZY,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
9306-CPCBC,Yes,Yes,Yes,No,No,No,No,No,No
2325-ZUSFD,Yes,No,Yes,Yes,No,No,No,Yes,Yes
3932-CMDTD,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
4503-BDXBD,Yes,No,Yes,No,Yes,No,No,No,No
6086-ESGRL,Yes,No,Yes,No,No,No,No,No,Yes
3886-CERTZ,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
6319-IEJWJ,Yes,No,Yes,No,No,No,No,Yes,Yes
5275-SQEIZ,Yes,No,Yes,No,No,No,No,No,Yes
7716-YTYHG,Yes,Yes,Yes,No,No,No,No,No,Yes
4390-KYULV,Yes,No,No,No,No,No,No,No,No
8945-GRKHX,Yes,No,Yes,No,No,No,No,No,Yes
6959-UWKHF,Yes,No,Yes,No,No,No,No,No,No
3815-SLMEF,No,No,Yes,Yes,No,No,Yes,No,No
4587-VVTOX,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
5261-QSHQM,No,No,Yes,No,No,No,No,No,No
3045-XETSH,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes
6834-NXDCA,No,No,Yes,No,No,No,No,No,No
5597-GLBUC,Yes,No,Yes,No,No,Yes,No,Yes,No
4822-YCXMX,Yes,Yes,Yes,No,No,No,No,No,Yes
9821-POOTN,Yes,Yes,Yes,No,No,No,No,No,No
4088-YLDSU,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
5797-APWZC,Yes,No,Yes,No,No,No,No,Yes,Yes
6416-TVAIH,Yes,No,Yes,No,No,No,No,No,No
5108-ADXWO,Yes,No,Yes,Yes,No,No,No,No,No
6715-OFDBP,Yes,No,Yes,No,No,Yes,No,Yes,Yes
2150-UWTFY,Yes,No,Yes,Yes,Yes,Yes,No,No,No
2157-MXBJS,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes
9019-QVLZD,Yes,No,Yes,No,No,No,No,Yes,No
3707-LRWZD,Yes,Yes,Yes,No,No,No,No,Yes,No
2979-SXESE,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No
9039-RBEEE,No,No,Yes,Yes,Yes,No,Yes,Yes,No
8417-FMLZI,Yes,No,Yes,No,Yes,No,No,No,Yes
4729-XKASR,No,No,Yes,No,No,No,No,No,No
5449-FIBXJ,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
8280-MQRQN,Yes,No,Yes,No,No,Yes,No,No,No
2037-SGXHH,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No
4603-JANFB,Yes,No,Yes,No,No,No,No,No,No
3018-TFTSU,Yes,No,Yes,Yes,No,Yes,No,No,No
7908-QCBCA,Yes,No,Yes,No,No,No,No,No,No
9658-WYUFB,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
7666-WKRON,Yes,No,Yes,No,No,Yes,Yes,No,No
2154-KVJFF,Yes,Yes,Yes,No,Yes,No,No,No,No
5520-FVEWJ,Yes,Yes,Yes,No,Yes,Yes,No,No,No
4658-HCOHW,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes
3440-JPSCL,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes
2889-FPWRM,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
0325-XBFAC,Yes,No,Yes,No,No,Yes,No,Yes,Yes
2091-MJTFX,No,No,Yes,No,No,No,Yes,Yes,Yes
3647-GMGDH,Yes,No,Yes,No,No,Yes,No,Yes,Yes
6595-COKXZ,Yes,No,Yes,No,No,No,No,No,No
2369-UAPKZ,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes
2962-XPMCQ,Yes,No,Yes,No,No,No,No,No,No
0511-JTEOY,Yes,No,Yes,No,No,No,No,No,No
9732-KPKBW,Yes,No,Yes,Yes,No,No,Yes,No,No
9560-ARGQJ,Yes,No,Yes,No,No,No,No,Yes,No
5380-AFSSK,Yes,Yes,Yes,No,No,No,No,Yes,Yes
8714-EUHJO,Yes,Yes,Yes,No,Yes,No,No,No,Yes
1193-RTSLK,Yes,No,Yes,Yes,Yes,Yes,No,No,No
5923-GXUOC,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
1449-XQEMT,Yes,No,No,No,No,No,No,No,No
2612-RRIDN,Yes,No,Yes,No,No,No,No,Yes,No
6892-EZDTG,Yes,Yes,Yes,No,Yes,No,No,Yes,No
1502-XFCVR,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes
7912-SYRQT,Yes,Yes,Yes,No,No,No,No,No,No
2359-QWQUL,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
6907-NZZIJ,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
2911-UREFD,No,No,Yes,Yes,No,Yes,No,Yes,Yes
3744-ZRRDZ,Yes,Yes,Yes,No,Yes,No,No,No,No
2606-RMDHZ,No,No,Yes,No,Yes,No,No,No,No
9940-RHLFB,Yes,No,Yes,No,No,Yes,No,No,No
8199-ZLLSA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
6000-APYLU,Yes,No,Yes,No,No,No,No,No,Yes
0947-IDHRQ,Yes,No,Yes,No,No,No,No,Yes,No
3034-ZBEQN,No,No,Yes,No,Yes,Yes,No,No,No
5366-IJEQJ,Yes,Yes,Yes,No,No,Yes,No,Yes,No
1981-INRFU,Yes,No,Yes,No,No,No,No,Yes,No
1527-SXDPN,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
9530-EHPOH,Yes,Yes,Yes,No,No,Yes,No,No,No
3235-ETOOB,Yes,No,Yes,Yes,No,No,No,No,No
8821-XNHVZ,Yes,No,Yes,No,No,No,No,Yes,No
5940-NFXKV,Yes,Yes,Yes,No,No,No,No,No,Yes
8053-WWDRO,Yes,No,No,No,No,No,No,No,No
5688-KZTSN,Yes,No,No,No,No,No,No,No,No
3143-JQEGI,Yes,No,Yes,No,No,No,No,Yes,Yes
6386-SZZKH,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
9526-JAWYF,Yes,No,Yes,No,Yes,Yes,No,Yes,No
9465-RWMXL,Yes,Yes,Yes,No,No,Yes,No,No,No
